id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
1,David,Raya Martín,Raya,1,1,5.5,142,0.00,0.03,0.03,35.03,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,38,0.0,2.26,0.0,0.0,0.92,0.89,123,469,68,18,1.0,0.34
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,4.5,106,0.06,0.03,0.09,38.83,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,31,0.0,3.13,0.0,0.0,1.25,1.26,359,142,94,216,1.0,0.26
3,Karl,Hein,Hein,1,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,591,56,438,223,0,0
4,Tommy,Setford,Setford,1,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,634,99,472,425,0,0
5,Gabriel,dos Santos Magalhães,Gabriel,1,2,6.0,117,2.70,1.21,3.91,23.09,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,28,0.1,0.0,0.05,0.15,0.88,0.84,94,569,32,8,1.07,0.38
6,William,Saliba,Saliba,1,2,6.0,130,2.42,1.28,3.70,30.32,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,35,0.07,0.0,0.04,0.11,0.9,0.86,99,574,70,29,1.04,0.36
7,Riccardo,Calafiori,Calafiori,1,2,5.5,39,0.86,0.69,1.55,10.28,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,11,0.08,0.0,0.06,0.14,0.95,1.1,173,519,236,332,1.01,0.09
8,Jurriën,Timber,J.Timber,1,2,5.5,114,1.23,1.30,2.53,21.09,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,27,0.05,0.0,0.05,0.1,0.79,0.78,169,515,59,116,1.01,0.41
9,Jakub,Kiwior,Kiwior,1,2,5.5,43,0.17,0.29,0.46,14.71,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,10,0.01,0.0,0.02,0.03,1.19,1.21,164,510,187,614,0.81,0.24
10,Myles,Lewis-Skelly,Lewis-Skelly,1,2,5.5,37,0.16,0.51,0.67,16.65,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57.0,40.0,15,0.01,0.0,0.03,0.04,1.1,1.06,184,530,297,53,0.99,0.33
