id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
1,Fábio,Ferreira Vieira,Fábio Vieira,1,3,5.4,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,157,638,640,600,0,0
2,Gabriel,Fernando de Jesus,G.Jesus,1,4,6.8,1,0.00,0.00,0.00,0.28,15,0,0,0,0,0,0,0,1,0,0,0,2,0.2,0.8,0.0,0.1,0,0.0,0.0,0.0,0.0,1.68,0.0,38,380,401,203,0.0,0.0
3,Gabriel,dos Santos Magalhães,Gabriel,1,2,6.0,29,0.51,0.05,0.56,4.32,360,1,0,3,1,0,0,0,1,0,0,4,104,114.0,24.8,52.0,19.1,4,0.13,0.0,0.01,0.14,1.08,0.25,82,6,7,31,1.0,0.75
4,Kai,Havertz,Havertz,1,4,8.1,24,1.57,0.12,1.69,4.32,360,2,1,3,1,0,0,0,0,0,0,5,89,121.0,60.4,127.0,30.8,4,0.39,0.0,0.03,0.42,1.08,0.25,12,63,17,18,1.0,0.75
5,Karl,Hein,Hein,1,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,627,425,444,528,0,0
6,Jurriën,Timber,J.Timber,1,2,5.5,13,0.07,0.05,0.12,3.56,268,0,0,2,1,0,0,0,2,0,0,0,49,29.6,17.2,21.0,6.7,3,0.02,0.0,0.02,0.04,1.2,0.34,123,59,96,185,1.01,0.67
7,Jorge Luiz,Frello Filho,Jorginho,1,3,4.9,2,0.00,0.00,0.00,0.74,90,0,0,1,0,0,0,0,1,0,0,0,0,0.4,1.8,0.0,0.2,1,0.0,0.0,0.0,0.0,0.74,0.0,274,289,175,316,1.0,1.0
8,Jakub,Kiwior,Kiwior,1,2,4.9,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,312,599,607,402,0,0
9,Gabriel,Martinelli Silva,Martinelli,1,3,6.9,10,0.25,0.74,0.99,2.85,249,0,0,3,0,0,0,0,0,0,0,0,45,42.8,89.1,66.0,19.7,3,0.09,0.0,0.27,0.36,1.03,0.0,34,135,145,142,1.08,1.08
12,Ethan,Nwaneri,Nwaneri,1,3,4.5,1,0.00,0.00,0.00,0.09,4,0,0,0,0,0,0,0,0,0,0,0,5,8.2,0.4,0.0,0.9,0,0.0,0.0,0.0,0.0,2.02,0.0,463,340,307,324,0.0,0.0
