Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
G,1,Raya,5.5,5.5,ARS,90,3.31,90,4.09,90,2.74,90,3.81,90,3.3,90,3.04,90,3.89,90,3.33,90,3.45,90,4.01,90,4.12,90,3.63,90,3.04,90,3.45,90,3.24,90,3.86,90,3.55,90,3.45,90,3.59
G,2,Arrizabalaga,4.5,4.5,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,3,Hein,4.0,4.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,4,Setford,4.0,4.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,5,Gabriel,6.0,6.0,ARS,90,3.82,90,5.12,90,3.31,90,4.49,90,3.76,90,3.5,90,4.61,90,3.8,90,4.02,90,4.64,90,5.18,90,4.44,90,3.43,90,4.15,90,3.68,90,4.56,90,4.1,90,4.13,90,4.15
D,6,Saliba,6.0,6.0,ARS,90,3.55,90,4.71,90,3.04,90,4.17,90,3.49,90,3.23,90,4.29,90,3.55,90,3.72,90,4.36,90,4.76,90,4.08,90,3.18,90,3.82,90,3.42,90,4.24,90,3.84,90,3.81,90,3.86
D,7,Calafiori,5.5,5.5,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,8,J.Timber,5.5,5.5,ARS,60,2.06,60,2.85,60,1.64,60,2.51,60,2.03,60,1.83,60,2.58,60,2.05,60,2.2,60,2.62,60,2.88,60,2.42,60,1.8,60,2.25,60,1.98,60,2.55,60,2.25,60,2.23,60,2.3
D,9,Kiwior,5.5,5.5,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,10,Lewis-Skelly,5.5,5.5,ARS,90,3.04,90,4.11,90,2.28,90,3.71,90,3.02,90,2.68,90,3.81,90,3.05,90,3.25,90,3.91,90,4.15,90,3.51,90,2.66,90,3.27,90,2.94,90,3.76,90,3.33,90,3.26,90,3.41
